customer_id,first_name,last_name,gender,birth_date,email,phone,city,registration_date,loyalty_points
1,Brian,Miller,F,1957-07-28,james68@yahoo.com,544-117-8002x428,New David,2024-12-30,509
2,Jennifer,Strong,F,1980-06-18,agill@reyes.info,031-755-7359,Jamesbury,2024-02-23,988
3,Cindy,Hart,F,1969-04-30,kathyjohnson@gmail.com,604-208-9231x1197,South Robert,2023-09-11,251
4,Tammy,Garza,M,1975-05-06,johnsonyvonne@yahoo.com,4718813490,North Juliabury,2023-07-11,342
5,Timothy,Steele,M,1951-10-04,jessicalopez@williams.biz,001-807-465-5819x043,Port Wesleymouth,2023-11-25,115
6,Amy,Mendoza,M,1956-01-31,micheal98@gmail.com,050-484-8137,New Kendrahaven,2024-12-01,183
7,Angela,Vasquez,M,1953-04-23,buckleykeith@lambert.com,293.515.5002x046,Port Michaeltown,2023-03-07,12
8,Angela,Singh,M,1958-01-19,paigerose@yahoo.com,456-959-2958x254,Orrview,2023-04-15,187
9,Christopher,Johnson,F,1961-08-11,dicksonrachel@horton.com,001-180-658-4465x94193,Murrayview,2023-10-08,397
10,Amanda,Lopez,F,1994-05-04,matthew15@hotmail.com,(606)007-0000x830,Lake Anatown,2024-11-25,80
11,Caitlin,Warner,M,1952-12-06,lawrence08@gmail.com,907-352-2168x578,Lake Susan,2024-05-03,372
12,Stephanie,Vazquez,M,1983-12-29,sylvia52@yahoo.com,210-744-9704x1201,Jesseshire,2022-11-05,607
13,Sandy,Gill,F,2001-09-24,lauren31@gmail.com,001-409-362-3476x4981,Richardborough,2023-12-24,90
14,Andrea,Cunningham,F,1980-06-12,marissahansen@yahoo.com,001-423-595-1729x668,Raymondland,2025-05-06,471
15,Daniel,Soto,F,1999-03-02,joseph12@yahoo.com,147.904.4022x7822,East Peter,2024-01-17,109
16,Julie,Ray,F,1989-06-25,pedrohamilton@gross.biz,610-921-3698x534,Griffithshire,2023-05-26,466
17,Angela,Boyd,F,1963-02-11,rebecca02@gmail.com,961-751-0556,New Jessicamouth,2024-09-18,995
18,Pamela,Shelton,M,1956-12-24,mackenzie97@parsons.org,388.637.6897x4537,Lake Markborough,2022-06-01,268
19,Clinton,Jones,M,1958-04-27,michael71@gmail.com,622.570.8610x464,Farleyhaven,2022-05-21,516
20,Donna,Ellis,M,1993-03-30,hannah07@gmail.com,430-041-6566x23123,East Jenniferfurt,2024-07-20,256
21,Malik,Patel,M,1971-05-03,jlynn@miller-mason.info,830-234-5840x124,East Crystal,2022-10-22,560
